n_words,n_words_total,speed,time,participant
15.0,143.0,On_pace,1556570090129,Erina
17.0,160.0,On_pace,1556570092579,Erina
12.0,172.0,On_pace,1556570095574,Erina
8.0,180.0,On_pace,1556570097695,Erina
18.0,198.0,On_pace,1556570099769,Erina
22.0,220.0,On_pace,1556570101873,Erina
15.0,235.0,On_pace,1556570104522,Erina
19.0,254.0,On_pace,1556570106644,Erina
20.0,274.0,On_pace,1556570108750,Erina
14.0,288.0,On_pace,1556570110872,Erina
22.0,310.0,On_pace,1556570115446,Erina
18.0,328.0,On_pace,1556570117500,Erina
22.0,350.0,On_pace,1556570119670,Erina
21.0,371.0,On_pace,1556570122039,Erina
17.0,388.0,On_pace,1556570125065,Erina
16.0,404.0,On_pace,1556570127074,Erina
16.0,420.0,On_pace,1556570129113,Erina
14.0,434.0,On_pace,1556570131202,Erina
26.0,460.0,Fast,1556570133258,Erina
15.0,475.0,On_pace,1556570135280,Erina
21.0,496.0,On_pace,1556570137435,Erina
